title,project,rent_or_sale,price,bedrooms,bathrooms,size_sqft,tag,rental_demand_score,target_tenant_type,agent_name,agent_whatsapp,source_url
Phoenix Tower 1-Bedroom — Forest City,Forest City,rent,1600,1,1,665,investment,2,China Owner,Agent S02-001,60120002001,https://iproperty.com.my/listing/forest-city-v2-1
Starview Bay 3-Bedroom — Forest City,Forest City,rent,1850,3,2,1287,owner_management,1,China Owner,Agent S02-002,60120002002,https://edgeprop.com.my/listing/forest-city-v2-2
Golf Suite 1-Bedroom — Forest City,Forest City,rent,2150,1,1,689,owner_management,1,China Owner,Agent S02-003,60120002003,https://propertyguru.com.my/listing/forest-city-v2-3
Cerulean Bay 3-Bedroom — Forest City,Forest City,rent,2400,3,2,1311,owner_management,2,China Owner,Agent S02-004,60120002004,https://iproperty.com.my/listing/forest-city-v2-4
Phoenix Tower 1-Bedroom — Forest City,Forest City,rent,2700,1,1,713,investment,1,China Owner,Agent S02-005,60120002005,https://edgeprop.com.my/listing/forest-city-v2-5
Starview Bay 3-Bedroom — Forest City,Forest City,rent,2950,3,2,1275,owner_management,1,China Owner,Agent S02-006,60120002006,https://propertyguru.com.my/listing/forest-city-v2-6
Golf Suite 1-Bedroom — Forest City,Forest City,rent,3250,1,1,677,owner_management,2,China Owner,Agent S02-007,60120002007,https://iproperty.com.my/listing/forest-city-v2-7
Cerulean Bay 3-Bedroom — Forest City,Forest City,rent,3500,3,2,1299,owner_management,1,China Owner,Agent S02-008,60120002008,https://edgeprop.com.my/listing/forest-city-v2-8
Phoenix Tower 1-Bedroom — Forest City,Forest City,rent,1600,1,1,701,investment,1,China Owner,Agent S02-009,60120002009,https://propertyguru.com.my/listing/forest-city-v2-9
Starview Bay 3-Bedroom — Forest City,Forest City,rent,1850,3,2,1323,owner_management,2,China Owner,Agent S02-010,60120002010,https://iproperty.com.my/listing/forest-city-v2-10
Golf Suite 1-Bedroom — Forest City,Forest City,rent,2150,1,1,665,owner_management,1,China Owner,Agent S02-011,60120002011,https://edgeprop.com.my/listing/forest-city-v2-11
Cerulean Bay 3-Bedroom — Forest City,Forest City,rent,2400,3,2,1287,owner_management,1,China Owner,Agent S02-012,60120002012,https://propertyguru.com.my/listing/forest-city-v2-12
Phoenix Tower 1-Bedroom — Forest City,Forest City,rent,2700,1,1,689,investment,2,China Owner,Agent S02-013,60120002013,https://iproperty.com.my/listing/forest-city-v2-13
Starview Bay 3-Bedroom — Forest City,Forest City,rent,2950,3,2,1311,owner_management,1,China Owner,Agent S02-014,60120002014,https://edgeprop.com.my/listing/forest-city-v2-14
Golf Suite 1-Bedroom — Forest City,Forest City,rent,3250,1,1,713,owner_management,1,China Owner,Agent S02-015,60120002015,https://propertyguru.com.my/listing/forest-city-v2-15
Cerulean Bay 3-Bedroom — Forest City,Forest City,rent,3500,3,2,1275,owner_management,2,China Owner,Agent S02-016,60120002016,https://iproperty.com.my/listing/forest-city-v2-16
Phoenix Tower 1-Bedroom — Forest City,Forest City,rent,1600,1,1,677,investment,1,China Owner,Agent S02-017,60120002017,https://edgeprop.com.my/listing/forest-city-v2-17
Starview Bay 3-Bedroom — Forest City,Forest City,rent,1850,3,2,1299,owner_management,1,China Owner,Agent S02-018,60120002018,https://propertyguru.com.my/listing/forest-city-v2-18
Golf Suite 1-Bedroom — Forest City,Forest City,rent,2150,1,1,701,owner_management,2,China Owner,Agent S02-019,60120002019,https://iproperty.com.my/listing/forest-city-v2-19
Cerulean Bay 3-Bedroom — Forest City,Forest City,rent,2400,3,2,1323,owner_management,1,China Owner,Agent S02-020,60120002020,https://edgeprop.com.my/listing/forest-city-v2-20
Phase 2 B 1-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2200,1,1,665,investment,5,China Owner,Agent S02-021,60120002021,https://propertyguru.com.my/listing/r-f-princess-cove-v2-21
Sky Villa 3-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2500,3,2,1287,commuter,5,Singapore Commuter,Agent S02-022,60120002022,https://iproperty.com.my/listing/r-f-princess-cove-v2-22
CIQ View 1-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2850,1,1,689,commuter,5,Singapore Commuter,Agent S02-023,60120002023,https://edgeprop.com.my/listing/r-f-princess-cove-v2-23
Phase 1 A 3-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,3150,3,2,1311,commuter,5,Singapore Commuter,Agent S02-024,60120002024,https://propertyguru.com.my/listing/r-f-princess-cove-v2-24
Phase 2 B 1-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,3500,1,1,713,investment,4,China Owner,Agent S02-025,60120002025,https://iproperty.com.my/listing/r-f-princess-cove-v2-25
Sky Villa 3-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,3800,3,2,1275,commuter,5,Singapore Commuter,Agent S02-026,60120002026,https://edgeprop.com.my/listing/r-f-princess-cove-v2-26
CIQ View 1-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,4150,1,1,677,commuter,5,Singapore Commuter,Agent S02-027,60120002027,https://propertyguru.com.my/listing/r-f-princess-cove-v2-27
Phase 1 A 3-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,4450,3,2,1299,commuter,5,Singapore Commuter,Agent S02-028,60120002028,https://iproperty.com.my/listing/r-f-princess-cove-v2-28
