title,project,listing_type,property_type,bedrooms,bathrooms,size_sqft,price,price_label,currency,image_url,description,is_featured,status,locale
Phoenix Tower 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,635,1800,,MYR,https://images.unsplash.com/photo-1513584684374-8bab748f235c?w=800&q=80&sig=s3-1,Phoenix Tower · 1-Bedroom rental in Forest City. Featured. Viewing by appointment.,true,published,en
Starview Bay 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1293,2250,,MYR,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800&q=80&sig=s3-2,Starview Bay · 3-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Golf Suite 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,671,2650,,MYR,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800&q=80&sig=s3-3,Golf Suite · 1-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Cerulean Bay 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1329,3100,,MYR,https://images.unsplash.com/photo-1505693416388-ac5ce068fe5e?w=800&q=80&sig=s3-4,Cerulean Bay · 3-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Marina Hotel Residences 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,707,3500,,MYR,https://images.unsplash.com/photo-1505142468610-359e7a316be0?w=800&q=80&sig=s3-5,Marina Hotel Residences · 1-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Phoenix Tower 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1365,1800,,MYR,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&q=80&sig=s3-6,Phoenix Tower · 3-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Starview Bay 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,743,2250,,MYR,https://images.unsplash.com/photo-1566073771259-d722a7420013?w=800&q=80&sig=s3-7,Starview Bay · 1-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Golf Suite 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1275,2650,,MYR,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800&q=80&sig=s3-0,Golf Suite · 3-Bedroom rental in Forest City. Featured. Viewing by appointment.,true,published,en
Cerulean Bay 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,653,3100,,MYR,https://images.unsplash.com/photo-1513584684374-8bab748f235c?w=800&q=80&sig=s3-1,Cerulean Bay · 1-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Marina Hotel Residences 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1311,3500,,MYR,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800&q=80&sig=s3-2,Marina Hotel Residences · 3-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Phoenix Tower 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,689,1800,,MYR,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800&q=80&sig=s3-3,Phoenix Tower · 1-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Starview Bay 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1347,2250,,MYR,https://images.unsplash.com/photo-1505693416388-ac5ce068fe5e?w=800&q=80&sig=s3-4,Starview Bay · 3-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Golf Suite 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,725,2650,,MYR,https://images.unsplash.com/photo-1505142468610-359e7a316be0?w=800&q=80&sig=s3-5,Golf Suite · 1-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Cerulean Bay 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1383,3100,,MYR,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&q=80&sig=s3-6,Cerulean Bay · 3-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Marina Hotel Residences 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,635,3500,,MYR,https://images.unsplash.com/photo-1566073771259-d722a7420013?w=800&q=80&sig=s3-7,Marina Hotel Residences · 1-Bedroom rental in Forest City. Featured. Viewing by appointment.,true,published,en
Phoenix Tower 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1293,1800,,MYR,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800&q=80&sig=s3-0,Phoenix Tower · 3-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Starview Bay 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,671,2250,,MYR,https://images.unsplash.com/photo-1513584684374-8bab748f235c?w=800&q=80&sig=s3-1,Starview Bay · 1-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Golf Suite 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1329,2650,,MYR,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800&q=80&sig=s3-2,Golf Suite · 3-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Cerulean Bay 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,707,3100,,MYR,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800&q=80&sig=s3-3,Cerulean Bay · 1-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Marina Hotel Residences 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1365,3500,,MYR,https://images.unsplash.com/photo-1505693416388-ac5ce068fe5e?w=800&q=80&sig=s3-4,Marina Hotel Residences · 3-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Phoenix Tower 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,743,1800,,MYR,https://images.unsplash.com/photo-1505142468610-359e7a316be0?w=800&q=80&sig=s3-5,Phoenix Tower · 1-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Starview Bay 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1275,2250,,MYR,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&q=80&sig=s3-6,Starview Bay · 3-Bedroom rental in Forest City. Featured. Viewing by appointment.,true,published,en
Golf Suite 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,653,2650,,MYR,https://images.unsplash.com/photo-1566073771259-d722a7420013?w=800&q=80&sig=s3-7,Golf Suite · 1-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Cerulean Bay 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1311,3100,,MYR,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800&q=80&sig=s3-0,Cerulean Bay · 3-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Marina Hotel Residences 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,689,3500,,MYR,https://images.unsplash.com/photo-1513584684374-8bab748f235c?w=800&q=80&sig=s3-1,Marina Hotel Residences · 1-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Phoenix Tower 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1347,1800,,MYR,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800&q=80&sig=s3-2,Phoenix Tower · 3-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Starview Bay 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,725,2250,,MYR,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800&q=80&sig=s3-3,Starview Bay · 1-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Golf Suite 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1383,2650,,MYR,https://images.unsplash.com/photo-1505693416388-ac5ce068fe5e?w=800&q=80&sig=s3-4,Golf Suite · 3-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Cerulean Bay 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,635,3100,,MYR,https://images.unsplash.com/photo-1505142468610-359e7a316be0?w=800&q=80&sig=s3-5,Cerulean Bay · 1-Bedroom rental in Forest City. Featured. Viewing by appointment.,true,published,en
Marina Hotel Residences 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1293,3500,,MYR,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&q=80&sig=s3-6,Marina Hotel Residences · 3-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Phoenix Tower 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,671,1800,,MYR,https://images.unsplash.com/photo-1566073771259-d722a7420013?w=800&q=80&sig=s3-7,Phoenix Tower · 1-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Starview Bay 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1329,2250,,MYR,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800&q=80&sig=s3-0,Starview Bay · 3-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Golf Suite 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,707,2650,,MYR,https://images.unsplash.com/photo-1513584684374-8bab748f235c?w=800&q=80&sig=s3-1,Golf Suite · 1-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Cerulean Bay 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1365,3100,,MYR,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800&q=80&sig=s3-2,Cerulean Bay · 3-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Marina Hotel Residences 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,743,3500,,MYR,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800&q=80&sig=s3-3,Marina Hotel Residences · 1-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Phoenix Tower 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1275,1800,,MYR,https://images.unsplash.com/photo-1505693416388-ac5ce068fe5e?w=800&q=80&sig=s3-4,Phoenix Tower · 3-Bedroom rental in Forest City. Featured. Viewing by appointment.,true,published,en
Starview Bay 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,653,2250,,MYR,https://images.unsplash.com/photo-1505142468610-359e7a316be0?w=800&q=80&sig=s3-5,Starview Bay · 1-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Golf Suite 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1311,2650,,MYR,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&q=80&sig=s3-6,Golf Suite · 3-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Cerulean Bay 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,689,3100,,MYR,https://images.unsplash.com/photo-1566073771259-d722a7420013?w=800&q=80&sig=s3-7,Cerulean Bay · 1-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Marina Hotel Residences 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1347,3500,,MYR,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800&q=80&sig=s3-0,Marina Hotel Residences · 3-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Phoenix Tower 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,725,1800,,MYR,https://images.unsplash.com/photo-1513584684374-8bab748f235c?w=800&q=80&sig=s3-1,Phoenix Tower · 1-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Starview Bay 3-Bedroom — Forest City,Forest City,rent,3-Bedroom Apartment,3,2,1383,2250,,MYR,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800&q=80&sig=s3-2,Starview Bay · 3-Bedroom rental in Forest City. Viewing by appointment.,false,published,en
Golf Suite 1-Bedroom — Forest City,Forest City,rent,1-Bedroom Apartment,1,1,635,2650,,MYR,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800&q=80&sig=s3-3,Golf Suite · 1-Bedroom rental in Forest City. Featured. Viewing by appointment.,true,published,en
Phase 2 B Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,450,3200,,MYR,https://images.unsplash.com/photo-1505693416388-ac5ce068fe5e?w=800&q=80&sig=s3-4,Phase 2 B · Studio rental in R&F Princess Cove. Featured. Viewing by appointment.,true,published,en
Sky Villa 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,933,3750,,MYR,https://images.unsplash.com/photo-1505142468610-359e7a316be0?w=800&q=80&sig=s3-5,Sky Villa · 2-Bedroom rental in R&F Princess Cove. Viewing by appointment.,false,published,en
CIQ View Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,486,4250,,MYR,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&q=80&sig=s3-6,CIQ View · Studio rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Phase 1 A 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,969,2200,,MYR,https://images.unsplash.com/photo-1566073771259-d722a7420013?w=800&q=80&sig=s3-7,Phase 1 A · 2-Bedroom rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Waterfront Tower Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,522,2700,,MYR,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800&q=80&sig=s3-0,Waterfront Tower · Studio rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Phase 2 B 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,1005,3200,,MYR,https://images.unsplash.com/photo-1513584684374-8bab748f235c?w=800&q=80&sig=s3-1,Phase 2 B · 2-Bedroom rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Sky Villa Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,558,3750,,MYR,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800&q=80&sig=s3-2,Sky Villa · Studio rental in R&F Princess Cove. Viewing by appointment.,false,published,en
CIQ View 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,915,4250,,MYR,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800&q=80&sig=s3-3,CIQ View · 2-Bedroom rental in R&F Princess Cove. Featured. Viewing by appointment.,true,published,en
Phase 1 A Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,468,2200,,MYR,https://images.unsplash.com/photo-1505693416388-ac5ce068fe5e?w=800&q=80&sig=s3-4,Phase 1 A · Studio rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Waterfront Tower 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,951,2700,,MYR,https://images.unsplash.com/photo-1505142468610-359e7a316be0?w=800&q=80&sig=s3-5,Waterfront Tower · 2-Bedroom rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Phase 2 B Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,504,3200,,MYR,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&q=80&sig=s3-6,Phase 2 B · Studio rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Sky Villa 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,987,3750,,MYR,https://images.unsplash.com/photo-1566073771259-d722a7420013?w=800&q=80&sig=s3-7,Sky Villa · 2-Bedroom rental in R&F Princess Cove. Viewing by appointment.,false,published,en
CIQ View Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,540,4250,,MYR,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800&q=80&sig=s3-0,CIQ View · Studio rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Phase 1 A 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,1023,2200,,MYR,https://images.unsplash.com/photo-1513584684374-8bab748f235c?w=800&q=80&sig=s3-1,Phase 1 A · 2-Bedroom rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Waterfront Tower Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,450,2700,,MYR,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800&q=80&sig=s3-2,Waterfront Tower · Studio rental in R&F Princess Cove. Featured. Viewing by appointment.,true,published,en
Phase 2 B 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,933,3200,,MYR,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800&q=80&sig=s3-3,Phase 2 B · 2-Bedroom rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Sky Villa Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,486,3750,,MYR,https://images.unsplash.com/photo-1505693416388-ac5ce068fe5e?w=800&q=80&sig=s3-4,Sky Villa · Studio rental in R&F Princess Cove. Viewing by appointment.,false,published,en
CIQ View 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,969,4250,,MYR,https://images.unsplash.com/photo-1505142468610-359e7a316be0?w=800&q=80&sig=s3-5,CIQ View · 2-Bedroom rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Phase 1 A Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,522,2200,,MYR,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&q=80&sig=s3-6,Phase 1 A · Studio rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Waterfront Tower 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,1005,2700,,MYR,https://images.unsplash.com/photo-1566073771259-d722a7420013?w=800&q=80&sig=s3-7,Waterfront Tower · 2-Bedroom rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Phase 2 B Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,558,3200,,MYR,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800&q=80&sig=s3-0,Phase 2 B · Studio rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Sky Villa 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,915,3750,,MYR,https://images.unsplash.com/photo-1513584684374-8bab748f235c?w=800&q=80&sig=s3-1,Sky Villa · 2-Bedroom rental in R&F Princess Cove. Featured. Viewing by appointment.,true,published,en
CIQ View Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,468,4250,,MYR,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800&q=80&sig=s3-2,CIQ View · Studio rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Phase 1 A 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,951,2200,,MYR,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800&q=80&sig=s3-3,Phase 1 A · 2-Bedroom rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Waterfront Tower Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,504,2700,,MYR,https://images.unsplash.com/photo-1505693416388-ac5ce068fe5e?w=800&q=80&sig=s3-4,Waterfront Tower · Studio rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Phase 2 B 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,987,3200,,MYR,https://images.unsplash.com/photo-1505142468610-359e7a316be0?w=800&q=80&sig=s3-5,Phase 2 B · 2-Bedroom rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Sky Villa Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,540,3750,,MYR,https://images.unsplash.com/photo-1544551763-46a013bb70d5?w=800&q=80&sig=s3-6,Sky Villa · Studio rental in R&F Princess Cove. Viewing by appointment.,false,published,en
CIQ View 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,1023,4250,,MYR,https://images.unsplash.com/photo-1566073771259-d722a7420013?w=800&q=80&sig=s3-7,CIQ View · 2-Bedroom rental in R&F Princess Cove. Viewing by appointment.,false,published,en
Phase 1 A Studio — R&F Princess Cove,R&F Princess Cove,rent,Studio Apartment,0,1,450,2200,,MYR,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800&q=80&sig=s3-0,Phase 1 A · Studio rental in R&F Princess Cove. Featured. Viewing by appointment.,true,published,en
Waterfront Tower 2-Bedroom — R&F Princess Cove,R&F Princess Cove,rent,2-Bedroom Apartment,2,2,933,2700,,MYR,https://images.unsplash.com/photo-1513584684374-8bab748f235c?w=800&q=80&sig=s3-1,Waterfront Tower · 2-Bedroom rental in R&F Princess Cove. Viewing by appointment.,false,published,en
